reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,reaction_id,ec_list
RZ_515,forward,KEGG,,C00070 => Z00070,C00070,Z00070,0.0,0.0,0.0,RZ,
RZ_514,forward,KEGG,,C19609 => Z00069,C19609,Z00069,0.0,0.0,0.0,RZ,
R00470_v1,forward,KEGG (Modified),Mg,C01127 + Z00029 => C00022 + C00048 + Z00029,C01127 + Z00029,C00022 + C00048 + Z00029,0.0,0.0,0.0,R00470,"4.1.3.16, 4.1.3.42"
R00470_v1,reverse,KEGG (Modified),Mg,C00022 + C00048 + Z00029 => C01127 + Z00029,C00022 + C00048 + Z00029,C01127 + Z00029,0.0,0.0,0.0,R00470,"4.1.3.16, 4.1.3.42"
R00476_v1,forward,KEGG (Modified),4Fe4S,C00160 + C00028 + Z00002 => C00048 + C00030 + Z00002,C00160 + C00028 + Z00002,C00048 + C00030 + Z00002,0.0,0.0,0.0,R00476,1.1.99.14
R00479_v1,forward,KEGG (Modified),Mg,C00311 + Z00029 => C00042 + C00048 + Z00029,C00311 + Z00029,C00042 + C00048 + Z00029,0.0,0.0,0.0,R00479,4.1.3.1
R00479_v1,reverse,KEGG (Modified),Mg,C00042 + C00048 + Z00029 => C00311 + Z00029,C00042 + C00048 + Z00029,C00311 + Z00029,0.0,0.0,0.0,R00479,4.1.3.1
RZ_481,forward,KEGG,,C00038 => Z00054,C00038,Z00054,0.0,0.0,0.0,RZ,
RZ_480,forward,KEGG,,C20679 => Z00053,C20679,Z00053,0.0,0.0,0.0,RZ,
RZ_492,forward,KEGG,,C01330 => Z00060,C01330,Z00060,0.0,0.0,0.0,RZ,
RZ_493,forward,KEGG,,C00238 => Z00060,C00238,Z00060,0.0,0.0,0.0,RZ,
RZ_5,forward,KEGG,Fe,C00283 + Z00015 => Z00002,C00283 + Z00015,Z00002,0.0,0.0,0.0,RZ,
RZ_501,forward,KEGG,Fe,C00283 + Z00015 => Z00063,C00283 + Z00015,Z00063,0.0,0.0,0.0,RZ,
RZ_502,forward,KEGG,,C06232 => Z00064,C06232,Z00064,0.0,0.0,0.0,RZ,
RZ_503,forward,KEGG,,C00150 => Z00064,C00150,Z00064,0.0,0.0,0.0,RZ,
R01900_v1,forward,KEGG (Modified),4Fe4S,C00311 + Z00002 => C00417 + C00001 + Z00002,C00311 + Z00002,C00417 + C00001 + Z00002,0.0,0.0,0.0,R01900,4.2.1.3
R01900_v1,reverse,KEGG (Modified),4Fe4S,C00417 + C00001 + Z00002 => C00311 + Z00002,C00417 + C00001 + Z00002,C00311 + Z00002,0.0,0.0,0.0,R01900,4.2.1.3
RZ_144,forward,KEGG,Fe,C00283 + Z00015 => Z00063,C00283 + Z00015,Z00063,0.0,0.0,0.0,RZ,
R10092_v1,forward,KEGG (Modified),Co,C00288 + C00080 + Z00006 => C00011 + C00001 + Z00006,C00288 + C00080 + Z00006,C00011 + C00001 + Z00006,0.0,0.0,0.0,R10092,4.2.1.1
R00522_v1,forward,KEGG (Modified),Mn,C00209 + Z00030 => C00058 + C00011 + Z00030,C00209 + Z00030,C00058 + C00011 + Z00030,0.0,0.0,0.0,R00522,4.1.1.2
R00522_v1,reverse,KEGG (Modified),Mn,C00058 + C00011 + Z00030 => C00209 + Z00030,C00058 + C00011 + Z00030,C00209 + Z00030,0.0,0.0,0.0,R00522,4.1.1.2
R00338_v1,forward,KEGG (Modified),Co,C00036 + C00001 + Z00006 => C00209 + C00033 + Z00006,C00036 + C00001 + Z00006,C00209 + C00033 + Z00006,0.0,0.0,0.0,R00338,3.7.1.1
RZ_106,forward,KEGG,,C14818 => Z00015,C14818,Z00015,0.0,0.0,0.0,RZ,
RZ_107,forward,KEGG,,C14819 => Z00015,C14819,Z00015,0.0,0.0,0.0,RZ,
R00217_v1,forward,KEGG (Modified),Mn,C00036 + Z00030 + C00036 + Z00030 + C00036 + Z00030 => C00022 + C00011 + Z00030 + C00022 + C00011 + Z00030 + C00022 + C00011 + Z00030,C00036 + Z00030 + C00036 + Z00030 + C00036 + Z00030,C00022 + C00011 + Z00030 + C00022 + C00011 + Z00030 + C00022 + C00011 + Z00030,0.0,0.0,0.0,R00217,"1.1.1.38, 1.1.1.40, 4.1.1.112"
R00217_v1,reverse,KEGG (Modified),Mn,C00022 + C00011 + Z00030 + C00022 + C00011 + Z00030 + C00022 + C00011 + Z00030 => C00036 + Z00030 + C00036 + Z00030 + C00036 + Z00030,C00022 + C00011 + Z00030 + C00022 + C00011 + Z00030 + C00022 + C00011 + Z00030,C00036 + Z00030 + C00036 + Z00030 + C00036 + Z00030,0.0,0.0,0.0,R00217,"1.1.1.38, 1.1.1.40, 4.1.1.112"
R00217_v2,forward,KEGG (Modified),Mg,C00036 + Z00029 => C00022 + C00011 + Z00029,C00036 + Z00029,C00022 + C00011 + Z00029,0.0,0.0,0.0,R00217,"1.1.1.38, 1.1.1.40, 4.1.1.112"
R00217_v2,reverse,KEGG (Modified),Mg,C00022 + C00011 + Z00029 => C00036 + Z00029,C00022 + C00011 + Z00029,C00036 + Z00029,0.0,0.0,0.0,R00217,"1.1.1.38, 1.1.1.40, 4.1.1.112"
