,reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,ec_list
2067,R01900_v1,forward,KEGG (Modified),4Fe4S,C00311 + Z00002 => C00417 + C00001 + Z00002,C00311 + Z00002,C00417 + C00001 + Z00002,0.0,0.0,0.0,4.2.1.3
8375,R10553_v1,reverse,KEGG (Modified),"Co, Ni",C05726 + C00033 + Z00006 + C05726 + C00033 + Z00034 => C05727 + C00001 + Z00006 + C05727 + C00001 + Z00034,C05726 + C00033 + Z00006 + C05726 + C00033 + Z00034,C05727 + C00001 + Z00006 + C05727 + C00001 + Z00034,0.0,0.0,0.0,
8374,R10553_v1,forward,KEGG (Modified),"Co, Ni",C05727 + C00001 + Z00006 + C05727 + C00001 + Z00034 => C05726 + C00033 + Z00006 + C05726 + C00033 + Z00034,C05727 + C00001 + Z00006 + C05727 + C00001 + Z00034,C05726 + C00033 + Z00006 + C05726 + C00033 + Z00034,0.0,0.0,0.0,
3798,R03804,reverse,KEGG,,C02028 + C00014 => C04131 + C00001,C02028 + C00014,C04131 + C00001,0.0,0.0,0.0,
3797,R03804,forward,KEGG,,C04131 + C00001 => C02028 + C00014,C04131 + C00001,C02028 + C00014,0.0,0.0,0.0,
3794,R03800_v1,reverse,KEGG (Modified),Zn,C03860 + C00014 + Z00054 => C02010 + C00001 + Z00054,C03860 + C00014 + Z00054,C02010 + C00001 + Z00054,0.0,0.0,0.0,
3793,R03800_v1,forward,KEGG (Modified),Zn,C02010 + C00001 + Z00054 => C03860 + C00014 + Z00054,C02010 + C00001 + Z00054,C03860 + C00014 + Z00054,0.0,0.0,0.0,
8367,R10546_v1,reverse,KEGG (Modified),Mg,C20674 + C00009 + Z00029 => C03998 + C00001 + Z00029,C20674 + C00009 + Z00029,C03998 + C00001 + Z00029,0.0,0.0,0.0,
8366,R10546_v1,forward,KEGG (Modified),Mg,C03998 + C00001 + Z00029 => C20674 + C00009 + Z00029,C03998 + C00001 + Z00029,C20674 + C00009 + Z00029,0.0,0.0,0.0,
8363,R10538_v1,forward,KEGG (Modified),Zn,2C00001 + C19033 + Z00054 => 2C00283 + C00011 + Z00054,2C00001 + C19033 + Z00054,2C00283 + C00011 + Z00054,0.0,0.0,0.0,
8296,R10443_v4,forward,KEGG (Modified),M2,2C00001 + C00201 + Z00069 => 2C00009 + C01117 + Z00069,2C00001 + C00201 + Z00069,2C00009 + C01117 + Z00069,0.0,0.0,0.0,
8295,R10443_v3,forward,KEGG (Modified),Mg,2C00001 + C00201 + Z00029 => 2C00009 + C01117 + Z00029,2C00001 + C00201 + Z00029,2C00009 + C01117 + Z00029,0.0,0.0,0.0,
8294,R10443_v2,forward,KEGG (Modified),Ca,2C00001 + C00201 + Z00055 => 2C00009 + C01117 + Z00055,2C00001 + C00201 + Z00055,2C00009 + C01117 + Z00055,0.0,0.0,0.0,
8293,R10443_v1,forward,KEGG (Modified),Mn,2C00001 + C00201 + Z00030 => 2C00009 + C01117 + Z00030,2C00001 + C00201 + Z00030,2C00009 + C01117 + Z00030,0.0,0.0,0.0,
8292,R10442_v4,forward,KEGG (Modified),M2,C00454 + C00001 + Z00069 => C01117 + C00009 + Z00069,C00454 + C00001 + Z00069,C01117 + C00009 + Z00069,0.0,0.0,0.0,
8291,R10442_v3,forward,KEGG (Modified),Mg,C00454 + C00001 + Z00029 => C01117 + C00009 + Z00029,C00454 + C00001 + Z00029,C01117 + C00009 + Z00029,0.0,0.0,0.0,
8290,R10442_v2,forward,KEGG (Modified),Ca,C00454 + C00001 + Z00055 => C01117 + C00009 + Z00055,C00454 + C00001 + Z00055,C01117 + C00009 + Z00055,0.0,0.0,0.0,
8289,R10442_v1,forward,KEGG (Modified),Mn,C00454 + C00001 + Z00030 => C01117 + C00009 + Z00030,C00454 + C00001 + Z00030,C01117 + C00009 + Z00030,0.0,0.0,0.0,
8247,R10401,reverse,KEGG,,C20507 + C00033 => C20505 + C00001,C20507 + C00033,C20505 + C00001,0.0,0.0,0.0,
8246,R10401,forward,KEGG,,C20505 + C00001 => C20507 + C00033,C20505 + C00001,C20507 + C00033,0.0,0.0,0.0,
8243,R10398,forward,KEGG,,C20506 + C00001 => C20508 + C00033,C20506 + C00001,C20508 + C00033,0.0,0.0,0.0,
8199,R10346_v1,reverse,KEGG (Modified),Zn,2C20569 + Z00054 => C20568 + C00001 + Z00054,2C20569 + Z00054,C20568 + C00001 + Z00054,0.0,0.0,0.0,
8198,R10346_v1,forward,KEGG (Modified),Zn,C20568 + C00001 + Z00054 => 2C20569 + Z00054,C20568 + C00001 + Z00054,2C20569 + Z00054,0.0,0.0,0.0,
8197,R10345_v1,forward,KEGG (Modified),"Fe, Zn",C20567 + C00001 + Z00015 + Z00054 => C20566 + Z00015 + Z00054,C20567 + C00001 + Z00015 + Z00054,C20566 + Z00015 + Z00054,0.0,0.0,0.0,
8376,R10553_v2,forward,KEGG (Modified),"Co, Zn",C05727 + C00001 + Z00054 + C05727 + C00001 + Z00006 => C05726 + C00033 + Z00054 + C05726 + C00033 + Z00006,C05727 + C00001 + Z00054 + C05727 + C00001 + Z00006,C05726 + C00033 + Z00054 + C05726 + C00033 + Z00006,0.0,0.0,0.0,
8377,R10553_v2,reverse,KEGG (Modified),"Co, Zn",C05726 + C00033 + Z00054 + C05726 + C00033 + Z00006 => C05727 + C00001 + Z00054 + C05727 + C00001 + Z00006,C05726 + C00033 + Z00054 + C05726 + C00033 + Z00006,C05727 + C00001 + Z00054 + C05727 + C00001 + Z00006,0.0,0.0,0.0,
8378,R10553_v3,forward,KEGG (Modified),Zn,C05727 + C00001 + Z00054 => C05726 + C00033 + Z00054,C05727 + C00001 + Z00054,C05726 + C00033 + Z00054,0.0,0.0,0.0,
8379,R10553_v3,reverse,KEGG (Modified),Zn,C05726 + C00033 + Z00054 => C05727 + C00001 + Z00054,C05726 + C00033 + Z00054,C05727 + C00001 + Z00054,0.0,0.0,0.0,
4435,R04587_v2,forward,KEGG (Modified),Zn,C04738 + C00001 + Z00054 => C06022 + C00033 + Z00054,C04738 + C00001 + Z00054,C06022 + C00033 + Z00054,0.0,0.0,0.0,
4436,R04587_v2,reverse,KEGG (Modified),Zn,C06022 + C00033 + Z00054 => C04738 + C00001 + Z00054,C06022 + C00033 + Z00054,C04738 + C00001 + Z00054,0.0,0.0,0.0,
1248,R01082_v1,forward,KEGG (Modified),4Fe4S,C00149 + Z00002 => C00122 + C00001 + Z00002,C00149 + Z00002,C00122 + C00001 + Z00002,0.0,0.0,0.0,4.2.1.2
1249,R01082_v1,forward,KEGG (Modified),4Fe4S,C00149 + Z00002 => C00122 + C00001 + Z00002,C00149 + Z00002,C00122 + C00001 + Z00002,0.0,0.0,0.0,4.2.1.2
1250,R01082_v1,reverse,KEGG (Modified),4Fe4S,C00122 + C00001 + Z00002 => C00149 + Z00002,C00122 + C00001 + Z00002,C00149 + Z00002,0.0,0.0,0.0,4.2.1.2
1251,R01082_v1,reverse,KEGG (Modified),4Fe4S,C00122 + C00001 + Z00002 => C00149 + Z00002,C00122 + C00001 + Z00002,C00149 + Z00002,0.0,0.0,0.0,4.2.1.2
8599,R10815_v3,reverse,KEGG (Modified),Mg,C20183 + C20863 + Z00029 => C02339 + C00001 + Z00029,C20183 + C20863 + Z00029,C02339 + C00001 + Z00029,0.0,0.0,0.0,
8598,R10815_v2,reverse,KEGG (Modified),Mn,C20183 + C20863 + Z00030 => C02339 + C00001 + Z00030,C20183 + C20863 + Z00030,C02339 + C00001 + Z00030,0.0,0.0,0.0,
8597,R10815_v1,reverse,KEGG (Modified),Co,C20183 + C20863 + Z00006 => C02339 + C00001 + Z00006,C20183 + C20863 + Z00006,C02339 + C00001 + Z00006,0.0,0.0,0.0,
8596,R10814,forward,KEGG,,C20864 + C00001 => C02100 + C00009,C20864 + C00001,C02100 + C00009,0.0,0.0,0.0,
4473,R04641,forward,KEGG,,C04905 + C00001 => C04908 + C00014,C04905 + C00001,C04908 + C00014,0.0,0.0,0.0,
3745,R03739,forward,KEGG,,C02080 + C00001 => C01853 + C00011,C02080 + C00001,C01853 + C00011,0.0,0.0,0.0,
4474,R04641,reverse,KEGG,,C04908 + C00014 => C04905 + C00001,C04908 + C00014,C04905 + C00001,0.0,0.0,0.0,
3844,R03874_v1,forward,KEGG (Modified),Zn,C03303 + Z00054 => C02179 + C00048 + Z00054,C03303 + Z00054,C02179 + C00048 + Z00054,0.0,0.0,0.0,
8564,R10776_v4,forward,KEGG (Modified),M2,C00676 + C00001 + Z00069 => C02269 + C00009 + Z00069,C00676 + C00001 + Z00069,C02269 + C00009 + Z00069,0.0,0.0,0.0,
8563,R10776_v3,forward,KEGG (Modified),Mg,C00676 + C00001 + Z00029 => C02269 + C00009 + Z00029,C00676 + C00001 + Z00029,C02269 + C00009 + Z00029,0.0,0.0,0.0,
8562,R10776_v2,forward,KEGG (Modified),Cu,C00676 + C00001 + Z00070 => C02269 + C00009 + Z00070,C00676 + C00001 + Z00070,C02269 + C00009 + Z00070,0.0,0.0,0.0,
8561,R10776_v1,forward,KEGG (Modified),Co,C00676 + C00001 + Z00006 => C02269 + C00009 + Z00006,C00676 + C00001 + Z00006,C02269 + C00009 + Z00006,0.0,0.0,0.0,
8551,R10766_v1,reverse,KEGG (Modified),Fe,C20837 + Z00015 => C20832 + Z00015,C20837 + Z00015,C20832 + Z00015,0.0,0.0,0.0,
8550,R10766_v1,forward,KEGG (Modified),Fe,C20832 + Z00015 => C20837 + Z00015,C20832 + Z00015,C20837 + Z00015,0.0,0.0,0.0,
8546,R10761_v1,reverse,KEGG (Modified),Fe,C20833 + C00001 + Z00015 => C20832 + Z00015,C20833 + C00001 + Z00015,C20832 + Z00015,0.0,0.0,0.0,
4522,R04727,forward,KEGG,,C02998 + C00001 => C01890 + C00033,C02998 + C00001,C01890 + C00033,0.0,0.0,0.0,
4523,R04727,reverse,KEGG,,C01890 + C00033 => C02998 + C00001,C01890 + C00033,C02998 + C00001,0.0,0.0,0.0,
4546,R04760,forward,KEGG,,C05291 + C00028 => C05296 + C00030,C05291 + C00028,C05296 + C00030,0.0,0.0,0.0,
3845,R03874_v1,reverse,KEGG (Modified),Zn,C02179 + C00048 + Z00054 => C03303 + Z00054,C02179 + C00048 + Z00054,C03303 + Z00054,0.0,0.0,0.0,
