A,X,H,T,F,accession,domain_id,ec,organism_name,protein_name,gene_names,length,source_id,d_type,t_id,f_id,ecod_uid,range
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,Hydrolase,A0A061ACK7,nD1,4.3.1.27,Caenorhabditis elegans,Phosphoserine phosphatase (EC 3.1.3.3) (O-phosphoserine phosphohydrolase),CELE_Y62E10A.13 Y62E10A.13,287,A0A061ACK7_F1,AFDB,2006.1.1,2006.1.1.1,3242202,41-280
a/b three-layered sandwiches,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,His_Phos_2,A0A061AJ50,nD2,4.3.1.27,Caenorhabditis elegans,2-phosphoxylose phosphatase 1 (Acid phosphatase-like protein 2),CELE_ZK809.9 ZK809.9,537,A0A061AJ50_F1,AFDB,7525.1.1,7525.1.1.2,3215978,111-530
a/b three-layered sandwiches,"Phosphoglucomutase, first 3 domains","Phosphoglucomutase, first 3 domains","Phosphoglucomutase, first 3 domains",PGM_PMM_I,A0A077YY22,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),"phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent) (EC 5.4.2.2)",TTRE_0000129001,569,A0A077YY22_F1,AFDB,7528.1.1,7528.1.1.1,3509720,6-195
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_5,A0A077YYM1,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),Alanine--glyoxylate aminotransferase (EC 2.6.1.44),TTRE_0000141001,378,A0A077YYM1_F1,AFDB,7577.1.1,7577.1.1.3,3514712,16-310
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,PMM,A0A077YZW5,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),Phosphomannomutase (EC 5.4.2.8),TTRE_0000017401,250,A0A077YZW5_F1,AFDB,2006.1.1,2006.1.1.5,3519817,"6-85,191-250"
a/b three-layered sandwiches,Rossmann-like,Rossmann-related,NagB/RpiA/CoA transferase-like,Glucosamine_iso,A0A077Z011,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),Glucosamine-6-phosphate isomerase (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase),TTRE_0000164501,297,A0A077Z011_F1,AFDB,2003.1.7,2003.1.7.4,3511662,1-270
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Alpha-amylase,A0A077Z0I3,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),alpha-glucosidase (EC 3.2.1.20),TTRE_0000177901,509,A0A077Z0I3_F1,AFDB,2002.1.1,2002.1.1.4,3512527,111-470
a+b four layers,Carbon-nitrogen hydrolase-like,Carbon-nitrogen hydrolase,Carbon-nitrogen hydrolase,CN_hydrolase,A0A077Z1G7,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),omega-amidase (EC 3.5.1.3) (Nitrilase homolog 2),TTRE_0000259201,337,A0A077Z1G7_F1,AFDB,246.1.1,246.1.1.1,3504879,"1-165,206-330"
a+b four layers,Carbon-nitrogen hydrolase-like,Carbon-nitrogen hydrolase,Carbon-nitrogen hydrolase,CN_hydrolase,A0A077Z2H3,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),omega-amidase (EC 3.5.1.3) (Nitrilase homolog 2),TTRE_0000115701,230,A0A077Z2H3_F1,AFDB,246.1.1,246.1.1.1,3502927,6-230
alpha bundles,Acid phosphatase/Vanadium-dependent haloperoxidase,Acid phosphatase/Vanadium-dependent haloperoxidase,Acid phosphatase/Vanadium-dependent haloperoxidase,PAP2,A0A077Z2U9,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),glucose-6-phosphatase (EC 3.1.3.9),TTRE_0000229201,338,A0A077Z2U9_F1,AFDB,180.1.1,180.1.1.1,3508289,1-325
a/b three-layered sandwiches,Macro domain-like,Macro domain-like,Macro domain-like,Peptidase_M17_N,A0A077Z3I7,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),Cytosol aminopeptidase (EC 3.4.13.23) (Cysteinylglycine-S-conjugate dipeptidase) (Leucine aminopeptidase 3) (Leucyl aminopeptidase) (Proline aminopeptidase) (Prolyl aminopeptidase),TTRE_0000154901,500,A0A077Z3I7_F1,AFDB,7529.1.1,7529.1.1.3,3505676,6-175
a/b three-layered sandwiches,Isocitrate/Isopropylmalate dehydrogenase-like,Isocitrate/Isopropylmalate dehydrogenase-like,Isocitrate/Isopropylmalate dehydrogenase-like,Iso_dh,A0A077Z3N3,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),Isocitrate dehydrogenase [NADP] (EC 1.1.1.42),TTRE_0000159401,420,A0A077Z3N3_F1,AFDB,7510.1.1,7510.1.1.1,3502482,116-290
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,,A0A077Z520,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),tryptophanase (EC 4.1.99.1),TTRE_0000344801,471,A0A077Z520_F1,AFDB,7577.1.1,NO_F_GROUP,3505757,16-325
